ID,Question,Option A,Option B,Option C,Option D,Answer
1,What is the capital of France?,Paris,Rome,Madrid,Berlin,Paris
2,Who wrote the play "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Mark Twain,Jane Austen,William Shakespeare
3,What is the largest planet in our Solar System?,Earth,Mars,Jupiter,Saturn,Jupiter
4,How many continents are there on Earth?,5,6,7,8,7
5,What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Silver,Diamond
6,Which ocean is the largest?,Indian Ocean,Atlantic Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean
7,Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,Leonardo da Vinci
8,What gas do plants absorb during photosynthesis?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Carbon Dioxide
9,In which country were the Olympic Games invented?,Italy,Greece,France,Egypt,Greece
10,How many sides does a hexagon have?,5,6,7,8,6
11,Which animal is known as the "King of the Jungle"?,Tiger,Elephant,Lion,Bear,Lion
12,What is the smallest prime number?,0,1,2,3,2
13,What is the main language spoken in Japan?,Chinese,Japanese,Korean,Thai,Japanese
14,How many colors are there in a rainbow?,5,6,7,8,7
15,What is the process of water changing into vapor called?,Condensation,Precipitation,Evaporation,Freezing,Evaporation
16,Which organ pumps blood through the body?,Brain,Heart,Lungs,Stomach,Heart
17,What currency is used in the United States?,Dollar,Euro,Pound,Yen,Dollar
18,How many days are there in a leap year?,365,366,367,364,366
19,What is H2O commonly known as?,Oxygen,Water,Hydrogen,Air,Water
20,Which planet is closest to the Sun?,Earth,Venus,Mercury,Mars,Mercury
